[18:48:57.722] [INFO   ] thread main starting.
[18:48:57.731] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:48:57.732] [SEVERE ] configuration file was loaded from resources directory.
[18:48:58.299] [INFO   ] thread dealer starting.
[18:48:58.300] [INFO   ] Thread dealer starting.
[18:48:58.412] [SEVERE ] placing card 80 in slot 0
[18:48:58.524] [SEVERE ] placing card 28 in slot 1
[18:48:58.633] [SEVERE ] placing card 39 in slot 2
[18:48:58.743] [SEVERE ] placing card 35 in slot 3
[18:48:58.851] [SEVERE ] placing card 75 in slot 4
[18:48:58.961] [SEVERE ] placing card 41 in slot 5
[18:48:59.070] [SEVERE ] placing card 43 in slot 6
[18:48:59.179] [SEVERE ] placing card 8 in slot 7
[18:48:59.288] [SEVERE ] placing card 29 in slot 8
[18:48:59.396] [SEVERE ] placing card 63 in slot 9
[18:48:59.506] [SEVERE ] placing card 12 in slot 10
[18:48:59.584] [SEVERE ] key 81 was pressed by player 1
[18:48:59.584] [SEVERE ] player 1 placing token on slot 0
[18:48:59.615] [SEVERE ] placing card 16 in slot 11
[18:49:00.196] [SEVERE ] key 81 was pressed by player 1
[18:49:00.196] [SEVERE ] removing player 1 token from slot 0
[18:49:00.601] [SEVERE ] key 81 was pressed by player 1
[18:49:00.601] [SEVERE ] player 1 placing token on slot 0
[18:49:00.949] [SEVERE ] key 81 was pressed by player 1
[18:49:00.950] [SEVERE ] removing player 1 token from slot 0
[18:49:01.220] [SEVERE ] key 81 was pressed by player 1
[18:49:01.220] [SEVERE ] player 1 placing token on slot 0
[18:49:01.546] [SEVERE ] key 81 was pressed by player 1
[18:49:01.546] [SEVERE ] removing player 1 token from slot 0
[18:49:02.041] [SEVERE ] key 81 was pressed by player 1
[18:49:02.041] [SEVERE ] player 1 placing token on slot 0
[18:49:02.559] [SEVERE ] key 85 was pressed by player 2
[18:49:02.560] [SEVERE ] player 2 placing token on slot 0
[18:49:03.178] [SEVERE ] key 81 was pressed by player 1
[18:49:03.178] [SEVERE ] removing player 1 token from slot 0
[18:49:03.481] [SEVERE ] key 85 was pressed by player 2
[18:49:03.481] [SEVERE ] removing player 2 token from slot 0
[18:49:03.943] [SEVERE ] key 81 was pressed by player 1
[18:49:03.943] [SEVERE ] player 1 placing token on slot 0
[18:49:04.089] [SEVERE ] key 85 was pressed by player 2
[18:49:04.089] [SEVERE ] player 2 placing token on slot 0
[18:49:04.146] [SEVERE ] key 81 was pressed by player 1
[18:49:04.146] [SEVERE ] removing player 1 token from slot 0
[18:49:04.235] [SEVERE ] key 85 was pressed by player 2
[18:49:04.236] [SEVERE ] removing player 2 token from slot 0
[18:49:04.336] [SEVERE ] key 81 was pressed by player 1
[18:49:04.337] [SEVERE ] player 1 placing token on slot 0
[18:49:04.427] [SEVERE ] key 85 was pressed by player 2
[18:49:04.428] [SEVERE ] player 2 placing token on slot 0
[18:49:04.538] [SEVERE ] key 81 was pressed by player 1
[18:49:04.538] [SEVERE ] removing player 1 token from slot 0
[18:49:04.618] [SEVERE ] key 85 was pressed by player 2
[18:49:04.618] [SEVERE ] removing player 2 token from slot 0
[18:49:04.776] [SEVERE ] key 81 was pressed by player 1
[18:49:04.776] [SEVERE ] player 1 placing token on slot 0
[18:49:04.776] [SEVERE ] key 85 was pressed by player 2
[18:49:04.776] [SEVERE ] player 2 placing token on slot 0
[18:49:04.944] [SEVERE ] key 81 was pressed by player 1
[18:49:04.944] [SEVERE ] removing player 1 token from slot 0
[18:49:05.022] [SEVERE ] key 85 was pressed by player 2
[18:49:05.023] [SEVERE ] removing player 2 token from slot 0
[18:49:05.135] [SEVERE ] key 81 was pressed by player 1
[18:49:05.136] [SEVERE ] player 1 placing token on slot 0
[18:49:05.214] [SEVERE ] key 85 was pressed by player 2
[18:49:05.214] [SEVERE ] player 2 placing token on slot 0
[18:49:05.326] [SEVERE ] key 81 was pressed by player 1
[18:49:05.327] [SEVERE ] removing player 1 token from slot 0
[18:49:05.382] [SEVERE ] key 85 was pressed by player 2
[18:49:05.382] [SEVERE ] removing player 2 token from slot 0
[18:49:05.517] [SEVERE ] key 81 was pressed by player 1
[18:49:05.518] [SEVERE ] player 1 placing token on slot 0
[18:49:05.551] [SEVERE ] key 85 was pressed by player 2
[18:49:05.551] [SEVERE ] player 2 placing token on slot 0
[18:49:05.698] [SEVERE ] key 81 was pressed by player 1
[18:49:05.698] [SEVERE ] removing player 1 token from slot 0
[18:49:05.809] [SEVERE ] key 85 was pressed by player 2
[18:49:05.810] [SEVERE ] removing player 2 token from slot 0
[18:49:05.867] [SEVERE ] key 81 was pressed by player 1
[18:49:05.868] [SEVERE ] player 1 placing token on slot 0
[18:49:05.968] [SEVERE ] key 85 was pressed by player 2
[18:49:05.968] [SEVERE ] player 2 placing token on slot 0
[18:49:06.080] [SEVERE ] key 81 was pressed by player 1
[18:49:06.080] [SEVERE ] removing player 1 token from slot 0
[18:49:06.182] [SEVERE ] key 85 was pressed by player 2
[18:49:06.182] [SEVERE ] removing player 2 token from slot 0
[18:49:07.498] [SEVERE ] key 81 was pressed by player 1
[18:49:07.498] [SEVERE ] player 1 placing token on slot 0
[18:49:07.498] [SEVERE ] key 85 was pressed by player 2
[18:49:07.499] [SEVERE ] player 2 placing token on slot 0
[18:49:07.892] [SEVERE ] key 81 was pressed by player 1
[18:49:07.893] [SEVERE ] removing player 1 token from slot 0
[18:49:07.893] [SEVERE ] key 85 was pressed by player 2
[18:49:07.893] [SEVERE ] removing player 2 token from slot 0
[18:49:08.230] [SEVERE ] key 81 was pressed by player 1
[18:49:08.230] [SEVERE ] player 1 placing token on slot 0
[18:49:08.230] [SEVERE ] key 85 was pressed by player 2
[18:49:08.230] [SEVERE ] player 2 placing token on slot 0
[18:49:08.657] [SEVERE ] key 81 was pressed by player 1
[18:49:08.657] [SEVERE ] removing player 1 token from slot 0
[18:49:08.658] [SEVERE ] key 85 was pressed by player 2
[18:49:08.658] [SEVERE ] removing player 2 token from slot 0
[18:49:09.049] [SEVERE ] key 81 was pressed by player 1
[18:49:09.050] [SEVERE ] player 1 placing token on slot 0
[18:49:09.050] [SEVERE ] key 85 was pressed by player 2
[18:49:09.050] [SEVERE ] player 2 placing token on slot 0
[18:49:09.410] [SEVERE ] key 81 was pressed by player 1
[18:49:09.411] [SEVERE ] removing player 1 token from slot 0
[18:49:09.412] [SEVERE ] key 85 was pressed by player 2
[18:49:09.412] [SEVERE ] removing player 2 token from slot 0
[18:49:09.715] [SEVERE ] key 81 was pressed by player 1
[18:49:09.715] [SEVERE ] player 1 placing token on slot 0
[18:49:09.715] [SEVERE ] key 85 was pressed by player 2
[18:49:09.715] [SEVERE ] player 2 placing token on slot 0
[18:49:10.053] [SEVERE ] key 81 was pressed by player 1
[18:49:10.053] [SEVERE ] removing player 1 token from slot 0
[18:49:10.053] [SEVERE ] key 85 was pressed by player 2
[18:49:10.053] [SEVERE ] removing player 2 token from slot 0
[18:49:10.345] [SEVERE ] key 81 was pressed by player 1
[18:49:10.345] [SEVERE ] player 1 placing token on slot 0
[18:49:10.345] [SEVERE ] key 85 was pressed by player 2
[18:49:10.346] [SEVERE ] player 2 placing token on slot 0
[18:49:11.717] [SEVERE ] key 81 was pressed by player 1
[18:49:11.717] [SEVERE ] removing player 1 token from slot 0
[18:49:11.718] [SEVERE ] key 85 was pressed by player 2
[18:49:11.718] [SEVERE ] removing player 2 token from slot 0
[18:49:12.021] [SEVERE ] key 81 was pressed by player 1
[18:49:12.021] [SEVERE ] player 1 placing token on slot 0
[18:49:12.021] [SEVERE ] key 85 was pressed by player 2
[18:49:12.021] [SEVERE ] player 2 placing token on slot 0
[18:49:12.291] [SEVERE ] key 81 was pressed by player 1
[18:49:12.291] [SEVERE ] removing player 1 token from slot 0
[18:49:12.291] [SEVERE ] key 85 was pressed by player 2
[18:49:12.292] [SEVERE ] removing player 2 token from slot 0
[18:49:12.537] [SEVERE ] key 81 was pressed by player 1
[18:49:12.537] [SEVERE ] player 1 placing token on slot 0
[18:49:12.538] [SEVERE ] key 85 was pressed by player 2
[18:49:12.538] [SEVERE ] player 2 placing token on slot 0
[18:49:12.842] [SEVERE ] key 87 was pressed by player 1
[18:49:12.842] [SEVERE ] player 1 placing token on slot 1
[18:49:12.843] [SEVERE ] key 73 was pressed by player 2
[18:49:12.843] [SEVERE ] player 2 placing token on slot 1
[18:49:13.258] [SEVERE ] key 87 was pressed by player 1
[18:49:13.258] [SEVERE ] removing player 1 token from slot 1
[18:49:13.259] [SEVERE ] key 73 was pressed by player 2
[18:49:13.259] [SEVERE ] removing player 2 token from slot 1
[18:49:13.887] [SEVERE ] key 81 was pressed by player 1
[18:49:13.887] [SEVERE ] removing player 1 token from slot 0
[18:49:13.910] [SEVERE ] key 85 was pressed by player 2
[18:49:13.910] [SEVERE ] removing player 2 token from slot 0
[18:49:16.110] [SEVERE ] key 80 was pressed by player 2
[18:49:16.110] [SEVERE ] player 2 placing token on slot 3
[18:49:16.251] [SEVERE ] key 79 was pressed by player 2
[18:49:16.251] [SEVERE ] player 2 placing token on slot 2
[18:49:16.251] [SEVERE ] key 80 was pressed by player 2
[18:49:16.251] [SEVERE ] removing player 2 token from slot 3
[18:49:16.397] [SEVERE ] key 69 was pressed by player 1
[18:49:16.397] [SEVERE ] player 1 placing token on slot 2
[18:49:16.487] [SEVERE ] key 79 was pressed by player 2
[18:49:16.487] [SEVERE ] removing player 2 token from slot 2
[18:49:16.487] [SEVERE ] key 80 was pressed by player 2
[18:49:16.488] [SEVERE ] player 2 placing token on slot 3
[18:49:16.610] [SEVERE ] key 69 was pressed by player 1
[18:49:16.610] [SEVERE ] removing player 1 token from slot 2
[18:49:16.690] [SEVERE ] key 80 was pressed by player 2
[18:49:16.690] [SEVERE ] removing player 2 token from slot 3
[18:49:16.780] [SEVERE ] key 69 was pressed by player 1
[18:49:16.780] [SEVERE ] player 1 placing token on slot 2
[18:49:16.881] [SEVERE ] key 80 was pressed by player 2
[18:49:16.881] [SEVERE ] player 2 placing token on slot 3
[18:49:16.948] [SEVERE ] key 69 was pressed by player 1
[18:49:16.948] [SEVERE ] removing player 1 token from slot 2
[18:49:17.071] [SEVERE ] key 80 was pressed by player 2
[18:49:17.071] [SEVERE ] removing player 2 token from slot 3
[18:49:17.127] [SEVERE ] key 69 was pressed by player 1
[18:49:17.127] [SEVERE ] player 1 placing token on slot 2
[18:49:17.240] [SEVERE ] key 80 was pressed by player 2
[18:49:17.240] [SEVERE ] player 2 placing token on slot 3
[18:49:17.297] [SEVERE ] key 69 was pressed by player 1
[18:49:17.297] [SEVERE ] removing player 1 token from slot 2
[18:49:17.443] [SEVERE ] key 80 was pressed by player 2
[18:49:17.443] [SEVERE ] removing player 2 token from slot 3
[18:49:17.825] [SEVERE ] key 80 was pressed by player 2
[18:49:17.825] [SEVERE ] player 2 placing token on slot 3
[18:49:18.073] [SEVERE ] key 80 was pressed by player 2
[18:49:18.073] [SEVERE ] removing player 2 token from slot 3
[18:49:18.252] [SEVERE ] key 80 was pressed by player 2
[18:49:18.252] [SEVERE ] player 2 placing token on slot 3
[18:49:18.433] [SEVERE ] key 80 was pressed by player 2
[18:49:18.433] [SEVERE ] removing player 2 token from slot 3
[18:49:18.736] [SEVERE ] key 69 was pressed by player 1
[18:49:18.736] [SEVERE ] player 1 placing token on slot 2
[18:49:19.039] [SEVERE ] key 80 was pressed by player 2
[18:49:19.039] [SEVERE ] player 2 placing token on slot 3
[18:49:19.366] [SEVERE ] key 80 was pressed by player 2
[18:49:19.366] [SEVERE ] removing player 2 token from slot 3
[18:49:19.693] [SEVERE ] key 80 was pressed by player 2
[18:49:19.693] [SEVERE ] player 2 placing token on slot 3
[18:49:20.086] [SEVERE ] key 69 was pressed by player 1
[18:49:20.086] [SEVERE ] removing player 1 token from slot 2
[18:49:20.233] [SEVERE ] key 80 was pressed by player 2
[18:49:20.233] [SEVERE ] removing player 2 token from slot 3
[18:49:20.379] [SEVERE ] key 69 was pressed by player 1
[18:49:20.380] [SEVERE ] player 1 placing token on slot 2
[18:49:20.491] [SEVERE ] key 80 was pressed by player 2
[18:49:20.491] [SEVERE ] player 2 placing token on slot 3
[18:49:23.017] [SEVERE ] key 79 was pressed by player 2
[18:49:23.017] [SEVERE ] player 2 placing token on slot 2
[18:49:24.484] [SEVERE ] key 87 was pressed by player 1
[18:49:24.485] [SEVERE ] player 1 placing token on slot 1
[18:49:25.026] [SEVERE ] key 87 was pressed by player 1
[18:49:25.026] [SEVERE ] removing player 1 token from slot 1
[18:49:25.520] [SEVERE ] key 69 was pressed by player 1
[18:49:25.520] [SEVERE ] removing player 1 token from slot 2
[18:49:26.095] [SEVERE ] key 69 was pressed by player 1
[18:49:26.095] [SEVERE ] player 1 placing token on slot 2
[18:49:26.736] [SEVERE ] key 82 was pressed by player 1
[18:49:26.736] [SEVERE ] player 1 placing token on slot 3
[18:49:27.140] [SEVERE ] key 82 was pressed by player 1
[18:49:27.140] [SEVERE ] removing player 1 token from slot 3
[18:49:27.466] [SEVERE ] key 69 was pressed by player 1
